pmid,title,journal,pub_date,year,first_author,num_authors,journal_short,era,topic
12086090,Phenotypic characterization of Trichophyton rubrum isolates from two geographic locations in Brazil.,European journal of epidemiology,2001,2001,Dos Santos JI,4,European journal of epidemiology,2000-2010,biochemical
11996223,Characterization of a keratinolytic metalloprotease from Bacillus sp. SCB-3.,Applied biochemistry and biotechnology,2002 Feb,2002,Lee H,4,Applied biochemistry and biotechnology,2000-2010,biochemical
10653588,Ruthenium hexaammine trichloride chemography for aggrecan mapping in cartilage is a sensitive indicator of matrix degradation.,The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,2000 Jan,2000,Buschmann MD,5,The journal of histochemistry and cytoch,Pre-2000,other
9669125,The in vitro and in vivo production of a 31.5-kD keratinolytic subtilase from Microsporum canis and the clinical status in naturally infected cats.,"Dermatology (Basel, Switzerland)",1998,1998,Mignon BR,4,"Dermatology (Basel, Switzerland)",Pre-2000,biochemical
9361286,Proteoglycans provide neurite guidance at an astrocyte boundary.,Molecular and cellular neurosciences,1997,1997,Powell EM,3,Molecular and cellular neurosciences,Pre-2000,other
8950504,Distribution and characterization of proteoglycans associated with exfoliation material.,Current eye research,1996 Nov,1996,Tawara A,4,Current eye research,Pre-2000,biochemical
8625816,6B4 proteoglycan/phosphacan is a repulsive substratum but promotes morphological differentiation of cortical neurons.,"Development (Cambridge, England)",1996 Feb,1996,Maeda N,2,"Development (Cambridge, England)",Pre-2000,other
8531932,Comparative studies on keratinase production of Trichophyton mentagrophytes strains of animal origin.,Mycoses,1995 May-Jun,1995,Siesenop U,2,Mycoses,Pre-2000,biochemical
7621400,The dermatophytes.,Clinical microbiology reviews,1995 Apr,1995,Weitzman I,2,Clinical microbiology reviews,Pre-2000,other
2476398,Regulation of Trichophyton rubrum proteolytic activity.,Infection and immunity,1989 Oct,1989,Apodaca G,2,Infection and immunity,Pre-2000,other
2495996,Does chondroitin sulfate have a role to play in the morphogenesis of the chick primary corneal stroma?,Developmental biology,1989 May,1989,Bansal MK,3,Developmental biology,Pre-2000,biochemical
3902988,A specific inhibitor of keratinolytic proteinase from Candida albicans could inhibit the cell growth of C. albicans.,The Journal of investigative dermatology,1985 Nov,1985,Tsuobi R,4,The Journal of investigative dermatology,Pre-2000,other
6431619,Partial characterization of the extracellular keratinase from Microsporum canis.,Sabouraudia,1984,1984,Takiuchi I,4,Sabouraudia,Pre-2000,biochemical
6205458,Keratinolytic proteinase produced by Candida albicans.,Sabouraudia,1984,1984,Hattori M,4,Sabouraudia,Pre-2000,biochemical
6753188,Effect of undecanoic acid on the production of exocellular lipolytic and keratinolytic enzymes by undecanoic acid-sensitive and -resistant strains of Trichophyton rubrum.,Sabouraudia,1982 Sep,1982,Das SK,2,Sabouraudia,Pre-2000,biochemical
7024585,"[The effect of keratinase on human epidermis, especially on stratum corneum (author's transl)].",Nihon Hifuka Gakkai zasshi. The Japanese journal of dermatology,1981 Feb,1981,Takiuchi I,3,Nihon Hifuka Gakkai zasshi. The Japanese,Pre-2000,other
4780776,Role of keratinases in dermatophytosis. 3. Demonstration of delayed hypersensitivity to keratinases by the capillary tube migration test.,Dermatologica,1973,1973,Eleuterio MK,4,Dermatologica,Pre-2000,other
4983101,Amino acid composition and specificity of a keratinase of Trichophyton mentagrophytes.,Archives of biochemistry and biophysics,1969 Dec,1969,Yu RJ,4,Archives of biochemistry and biophysics,Pre-2000,other
11446530,Purification and characterization of a 43.5 kDa keratinolytic metalloprotease from Microsporum canis.,Medical mycology,2001 Jun,2001,Brouta F,6,Medical mycology,2000-2010,biochemical
11407490,Exocellular enzyme activity of dermatophytes and other fungi isolated from ruminants in Southern Iraq.,Mycopathologia,2001,2001,Muhsin TM,2,Mycopathologia,2000-2010,other
11325057,Histochemical analyses of glycosaminoglycans in the synovial membrane of the canine knee joint.,Annals of anatomy = Anatomischer Anzeiger : official organ of the Anatomische Gesellschaft,2001 Mar,2001,Nagaoka D,2,Annals of anatomy = Anatomischer Anzeige,2000-2010,other
11119146,Feather keratin hydrolysis by a Vibrio sp. strain kr2.,Journal of applied microbiology,2000 Nov,2000,Sangali S,2,Journal of applied microbiology,Pre-2000,industrial
11109488,Subtilisins of Bacillus spp. hydrolyze keratin and allow growth on feathers.,Canadian journal of microbiology,2000 Nov,2000,Evans KL,3,Canadian journal of microbiology,Pre-2000,industrial
11064325,Characterization of an extracellular keratinase from Microsporum canis.,Nihon Ishinkin Gakkai zasshi = Japanese journal of medical mycology,2000,2000,Hamaguchi T,4,Nihon Ishinkin Gakkai zasshi = Japanese ,Pre-2000,biochemical
10850670,Isolation and characterization of a novel feather-degrading bacterial strain.,Applied biochemistry and biotechnology,2000 Apr,2000,Sangali S,2,Applied biochemistry and biotechnology,Pre-2000,industrial
10709982,Keratinase of Doratomyces microsporus.,Applied microbiology and biotechnology,2000 Feb,2000,Gradisar H,3,Applied microbiology and biotechnology,Pre-2000,other
10591021,Reidentification of the keratinase-producing facultatively alkaliphilic Bacillus sp. AH-101 as Bacillus halodurans.,Extremophiles : life under extreme conditions,1999 Nov,1999,Takami H,3,Extremophiles : life under extreme condi,Pre-2000,biochemical
10564836,A first order experimental design to assess soluble proteins released by a new keratinase from Doratomyces microsporus on human substrates.,International journal of pharmaceutics,1999 Nov 30,1999,Vignardet C,4,International journal of pharmaceutics,Pre-2000,other
10455487,Fermentation production of keratinase from Bacillus licheniformisPWD-1 and a recombinant B. subtilis FDB-29.,Journal of industrial microbiology & biotechnology,1999 Jun,1999,Wang JJ,2,Journal of industrial microbiology & bio,Pre-2000,biochemical
10424099,Isolation of Basidiobolus ranarum from ectotherms in Antwerp zoo with special reference to characterization of the isolated strains.,Mycoses,1999,1999,Feio CL,4,Mycoses,Pre-2000,biochemical
10408094,Isolation and partial characterisation of extracellular keratinase from a wool degrading thermophilic actinomycete strain Thermoactinomyces candidus.,Canadian journal of microbiology,1999 Mar,1999,Ignatova Z,4,Canadian journal of microbiology,Pre-2000,biochemical
10361268,Humoral and cellular immune response to a crude exo-antigen and purified keratinase of Microsporum canis in experimentally infected guinea pigs.,Medical mycology,1999 Apr,1999,Mignon BR,6,Medical mycology,Pre-2000,biochemical
10353210,Exocellular proteases of Malbranchea gypsea and their role in keratin deterioration.,Mycopathologia,1998-1999,1998,Singh CJ,1,Mycopathologia,Pre-2000,other
10347045,Purification and characterization of a keratinolytic serine proteinase from Streptomyces albidoflavus.,Applied and environmental microbiology,1999 Jun,1999,Bressollier P,4,Applied and environmental microbiology,Pre-2000,biochemical
10206750,Purification and characterization of a 315 kDa keratinolytic subtilisin-like serine protease from Microsporum canis and evidence of its secretion in naturally infected cats.,Medical mycology,1998 Dec,1998,Mignon B,8,Medical mycology,Pre-2000,biochemical
10205889,Degradation of chicken feathers by Chrysosporium georgiae.,Mycopathologia,1998,1998,el-Naghy MA,4,Mycopathologia,Pre-2000,industrial
10200928,Histopathological pattern and humoral immune response to a crude exo-antigen and purified keratinase of Microsporum canis in symptomatic and asymptomatic infected cats.,Medical mycology,1999 Feb,1999,Mignon BR,5,Medical mycology,Pre-2000,biochemical
9489039,Keratinolytic activity of Streptomyces sp. S.K1-02: a new isolated strain.,Letters in applied microbiology,1998 Jan,1998,Letourneau F,5,Letters in applied microbiology,Pre-2000,other
9470414,Extracellular enzyme activities of dermatophytes and yeast isolates on solid media.,Mycoses,1997 Dec,1997,Muhsin TM,3,Mycoses,Pre-2000,other
9429897,Use of degenerate primers and heat-soaked polymerase chain reaction (PCR) to clone a serine protease antigen from Dermatophilus congolensis.,Immunology and cell biology,1997 Oct,1997,Mine OM,2,Immunology and cell biology,Pre-2000,biochemical
9366094,Expression of the Bacillus licheniformis PWD-1 keratinase gene in B. subtilis.,Journal of industrial microbiology & biotechnology,1997 Aug,1997,Lin X,4,Journal of industrial microbiology & bio,Pre-2000,biochemical
9265769,Mycological and some physiological studies of keratinophilic and other moulds associated with sheep wool.,Microbiological research,1997 Jul,1997,Abdel-Gawad KM,1,Microbiological research,Pre-2000,other
9608718,Keratinolysis by poultry farm soil fungi.,Mycopathologia,1997,1997,Kaul S,2,Mycopathologia,Pre-2000,other
9299753,Characterization of an extracellular keratinase of Trichophyton simii and its role in keratin degradation.,Mycopathologia,1997,1997,Singh CJ,1,Mycopathologia,Pre-2000,biochemical
8900102,Keratinolytic activity of Aspergillus fumigatus fresenius.,Current microbiology,1996 Dec,1996,Santos RMDB,4,Current microbiology,Pre-2000,other
16535453,Hydrolysis of feather keratin by immobilized keratinase.,Applied and environmental microbiology,1996 Nov,1996,Lin X,3,Applied and environmental microbiology,Pre-2000,industrial
8611746,Production and characterization of keratinase of a feather-degrading Bacillus licheniformis PWD-1.,"Bioscience, biotechnology, and biochemistry",1995 Dec,1995,Cheng SW,6,"Bioscience, biotechnology, and biochemis",Pre-2000,industrial
7487006,Characterization of a keratinolytic serine proteinase from Streptomyces pactum DSM 40530.,Applied and environmental microbiology,1995 Oct,1995,Böckle B,3,Applied and environmental microbiology,Pre-2000,biochemical
7747965,"Nucleotide sequence and expression of kerA, the gene encoding a keratinolytic protease of Bacillus licheniformis PWD-1.",Applied and environmental microbiology,1995 Apr,1995,Lin X,4,Applied and environmental microbiology,Pre-2000,biochemical
8077506,Dermatophytosis and the immune response.,Journal of the American Academy of Dermatology,1994 Sep,1994,Dahl MV,1,Journal of the American Academy of Derma,Pre-2000,other
11548228,Characterization of proteoglycans synthesized by different layers of adult human femoral head cartilage.,Osteoarthritis and cartilage,1994 Jun,1994,Mitrovic DR,2,Osteoarthritis and cartilage,Pre-2000,biochemical
8450191,Monoclonal antibodies to keratan sulfate immunolocalize ramified microglia in paraffin and cryostat sections of rat brain.,The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,1993 Apr,1993,Bertolotto A,5,The journal of histochemistry and cytoch,Pre-2000,other
16348784,Purification and Characterization of a Keratinase from a Feather-Degrading Bacillus licheniformis Strain.,Applied and environmental microbiology,1992 Oct,1992,Lin X,4,Applied and environmental microbiology,Pre-2000,industrial
1435957,Purification and partial characterization of two extracellular keratinases of Scopulariopsis brevicaulis.,Mycopathologia,1992 Sep,1992,Malviya HK,3,Mycopathologia,Pre-2000,biochemical
1381647,Some biochemical characteristics of a partially purified extracellular keratinase from Trichophyton schoenleinii.,Zentralblatt fur Bakteriologie : international journal of medical microbiology,1992 Jul,1992,Qin LM,3,Zentralblatt fur Bakteriologie : interna,Pre-2000,biochemical
1381699,Evaluation of keratinolytic potential of some fungal isolates from gelatin factory campus.,Indian journal of experimental biology,1992 Feb,1992,Malviya HK,4,Indian journal of experimental biology,Pre-2000,other
1284846,Proteinases of Streptomyces fradiae. III. Catalytic and some physico- chemical properties of keratinolytic proteinase.,Acta microbiologica Polonica,1992,1992,Galas E,2,Acta microbiologica Polonica,Pre-2000,other
19283126,"A Collagenolytic Fungus, Cunninghamella elegans, for Biological Control of Plant-parasitic Nematodes.",Journal of nematology,1991 Jul,1991,Galper S,4,Journal of nematology,Pre-2000,other
1713301,Screening the keratinolytic activity of dermatophytes in vitro.,Mycopathologia,1991 Apr,1991,Wawrzkiewicz K,3,Mycopathologia,Pre-2000,other
1985903,A large chondroitin sulfate basement membrane-associated proteoglycan exists as a disulfide-stabilized complex of several proteins.,The Journal of biological chemistry,1991 Jan 5,1991,Iwata M,2,The Journal of biological chemistry,Pre-2000,other
1711646,Quantification of keratinolytic activity from Dermatophilus congolensis.,Medical microbiology and immunology,1991,1991,Hänel H,5,Medical microbiology and immunology,Pre-2000,other
1707887,Feather keratin as a ligand in an affinity chromatographic technique for isolation of protease from Trichophyton verrucosum.,Journal of chromatography,1990 Nov 9,1990,Lobarzewski J,5,Journal of chromatography,Pre-2000,industrial
2288900,Detection of keratinolytic proteinase in skin tissues from guinea pigs infected with Microsporum canis by an immunoperoxidase technique.,Journal of dermatological science,1990 Nov,1990,Lee KH,3,Journal of dermatological science,Pre-2000,cosmetic
1698173,Keratinase of a streptomycete.,Indian journal of experimental biology,1990 Jun,1990,Mukhopadhyay RP,2,Indian journal of experimental biology,Pre-2000,other
2179172,[Pathogens and pathogenesis of dermatophytoses].,"Der Hautarzt; Zeitschrift fur Dermatologie, Venerologie, und verwandte Gebiete",1990 Jan,1990,Brasch J,1,Der Hautarzt; Zeitschrift fur Dermatolog,Pre-2000,biochemical
1726643,Analysis of the proteolytic degradation products of hyaline cartilage proteoglycans.,Acta biochimica et biophysica Hungarica,1990,1990,Liszt F,4,Acta biochimica et biophysica Hungarica,Pre-2000,biochemical
2562078,[Biochemical properties of Polish and standard strains of Trichophyton equinum].,Polskie archiwum weterynaryjne,1989,1989,Kostro K,1,Polskie archiwum weterynaryjne,Pre-2000,other
3281601,Detection of circulating antibodies to purified keratinolytic proteinase in sera from guinea pigs infected with Microsporum canis by enzyme-linked immunosorbent assay.,Archives of dermatological research,1988,1988,Lee KH,4,Archives of dermatological research,Pre-2000,biochemical
3325542,A new keratinolytic proteinase from clinical isolates of Trichophyton mentagrophytes.,The Journal of dermatology,1987 Oct,1987,Tsuboi R,4,The Journal of dermatology,Pre-2000,other
2444691,Intracellular keratinase of Trichophyton gallinae.,Journal of medical and veterinary mycology : bi-monthly publication of the International Society for Human and Animal Mycology,1987 Aug,1987,Wawrzkiewicz K,3,Journal of medical and veterinary mycolo,Pre-2000,other
3307174,"Isolation, purification and characterization of keratinolytic proteinase from Microsporum canis.",Yonsei medical journal,1987,1987,Lee KH,4,Yonsei medical journal,Pre-2000,biochemical
3768885,Further characterization of the glycoproteins and glycosaminoglycans released from TA3 murine adenocarcinoma cells in culture.,Carbohydrate research,1986 Aug 15,1986,Miller DK,2,Carbohydrate research,Pre-2000,biochemical
2409839,Purification and characterization of keratin hydrolase in psoriatic epidermis: application of keratin-agarose plate and keratin-polyacrylamide enzymography methods.,Analytical biochemistry,1985 Jun,1985,Hibino T,1,Analytical biochemistry,Pre-2000,biochemical
6440524,Characterisation of isolates of Pseudomonas aeruginosa from sheep.,Australian veterinary journal,1984 Sep,1984,Burrell DH,2,Australian veterinary journal,Pre-2000,biochemical
6384310,Studies of the low-molecular-weight keratinase inhibitor of human epidermis.,The Journal of dermatology,1984 Apr,1984,Takiuchi I,4,The Journal of dermatology,Pre-2000,other
6379390,[The isolation and identification of microorganisms capable of using agricultural wastes resistant to enzymatic degradation].,Mikrobiyoloji bulteni,1984 Apr,1984,Göktan D,1,Mikrobiyoloji bulteni,Pre-2000,industrial
6366007,Immunological studies of an extra-cellular keratinase.,The Journal of dermatology,1983 Aug,1983,Takiuchi I,4,The Journal of dermatology,Pre-2000,other
6350868,The in vitro degradation of peacock feathers by some fungi.,Mykosen,1983 Jun,1983,Kushwaha RK,1,Mykosen,Pre-2000,industrial
6877339,Immunology of dermatophytosis. Experimental study.,Mycopathologia,1983 Apr 22,1983,García de Lomas J,5,Mycopathologia,Pre-2000,other
6350658,[Biochemical properties of keratinolytic proteinases produced by Candida albicans].,Nihon Hifuka Gakkai zasshi. The Japanese journal of dermatology,1983 Mar,1983,Matsuda K,5,Nihon Hifuka Gakkai zasshi. The Japanese,Pre-2000,biochemical
6186036,Isolation of an extracellular proteinase (keratinase) from Microsporum canis.,Sabouraudia,1982 Dec,1982,Takiuchi I,4,Sabouraudia,Pre-2000,other
7035721,[The production of antibodies to an extracellular keratinase of microsporum canis (author's transl)].,Nihon Hifuka Gakkai zasshi. The Japanese journal of dermatology,1981 Jun,1981,Takiuchi I,3,Nihon Hifuka Gakkai zasshi. The Japanese,Pre-2000,biochemical
16345635,Collagenase production by nematode-trapping fungi.,Applied and environmental microbiology,1980 Sep,1980,Schenck S,4,Applied and environmental microbiology,Pre-2000,biochemical
94467,Control of exocellular proteases in dermatophytes and especially Trichophyton rubrum.,Sabouraudia,1979 Jun,1979,Meevootisom V,2,Sabouraudia,Pre-2000,other
301579,"[Isolation, purification and biochemical properties of keratinase elaborated from Microsporum gypseum (author's transl)].",Nihon Hifuka Gakkai zasshi. The Japanese journal of dermatology,1977 Apr,1977,Takiuchi I,2,Nihon Hifuka Gakkai zasshi. The Japanese,Pre-2000,biochemical
1017526,Role of keratinases in dermatophytosis. IV. Reactivities of sera from guinea pigs with heat-inactivated keratinase II.,Dermatologica,1976,1976,Grappel SF,1,Dermatologica,Pre-2000,other
3173,"The substrate specificity of thermomycolase, an extracellular serine proteinase from the thermophilic fungus Malbranchea pulchella var. sulfurea.",The Biochemical journal,1975 Dec,1975,Stevenson KJ,2,The Biochemical journal,Pre-2000,other
236085,Degradation of feather keratin by culture filtrates of Streptomyces fradiae.,Canadian journal of microbiology,1975 May,1975,Young RA,2,Canadian journal of microbiology,Pre-2000,industrial
4855780,Phosphate-mediated alteration of the Microsporum gypseum germination protease specificity for substrate: enhanced keratinase activity.,Journal of bacteriology,1974 Feb,1974,Page WJ,2,Journal of bacteriology,Pre-2000,other
4545485,[Studies on productive activity of a keratinase in Microsporum gypseum (author's transl)].,Nihon Hifuka Gakkai zasshi. The Japanese journal of dermatology,1973 Aug,1973,Takiuchi I,4,Nihon Hifuka Gakkai zasshi. The Japanese,Pre-2000,biochemical
4576226,Role of keratinases in dermatophytosis. II. Fluorescent antibody studies with keratinase II of Trichophyton mentagrophytes.,Dermatologica,1973,1973,Collins JP,3,Dermatologica,Pre-2000,other
4654231,Keratinases: hydrolysis of keratinous substrates by three enzymes of Trichophyton mentagrophytes.,Experientia,1972 Dec 15,1972,Yu RJ,3,Experientia,Pre-2000,other
4672808,Inhibition of keratinases by 2 -macroglobulin.,Experientia,1972 Aug 15,1972,Yu RJ,3,Experientia,Pre-2000,other
4124876,Role of keratinases in dermatophytosis. I. Immune responses of guinea pigs infected with Trichophyton mentagrophytes and guinea pigs immunized with keratinases.,Dermatologica,1972,1972,Grappel SF,2,Dermatologica,Pre-2000,other
4997366,Two cell-bound keratinases of Trichophyton mentagrophytes.,The Journal of investigative dermatology,1971 Jan,1971,Yu RJ,4,The Journal of investigative dermatology,Pre-2000,other
4979675,Hair digestion by a keratinase of Trichophyton mentagrophytes.,The Journal of investigative dermatology,1969 Aug,1969,Yu RJ,3,The Journal of investigative dermatology,Pre-2000,cosmetic
5686010,Isolation and purification of an extracellular keratinase of Trichophyton mentagrophytes.,Journal of bacteriology,1968 Oct,1968,Yu RJ,3,Journal of bacteriology,Pre-2000,biochemical
5986551,"[Ectoenzymes of the dermatophytes. II. pH dependency of the activity and substrate specificity, with special consideration of o-phosphoric acid monoester-phosphohydrolase as well as proteinases and keratinase].",Archiv fur klinische und experimentelle Dermatologie,1966,1966,Ziegler H,1,Archiv fur klinische und experimentelle ,Pre-2000,other
14078977,KERATINASE. II. PROPERTIES OF THE CRYSTALLINE ENZYME.,Biochimica et biophysica acta,1963 Sep 3,1963,NICKERSON WJ,2,Biochimica et biophysica acta,Pre-2000,other
14078975,KERATINASE. I. PROPERTIES OF THE ENZYME CONJUGATED ELABORATED BY STREPTOMYCES FRADIAE.,Biochimica et biophysica acta,1963 Sep 3,1963,NICKERSON WJ,3,Biochimica et biophysica acta,Pre-2000,other
14062643,THE EFFECT OF KERATINASE ON HUMAN EPIDERMIS.,The Journal of investigative dermatology,1963 Sep,1963,DOBSON RL,2,The Journal of investigative dermatology,Pre-2000,other
